Ar1,Ar2,dG,_join1,_join2,ar1_scf_energy_hartree,ar1_gibbs_free_energy_hartree,ar1_enthalpy_hartree,ar1_dipole_total_debye,ar1_isotropic_polarizability_au,ar1_homo_hartree,ar1_lumo_hartree,ar1_gap_hartree,ar1_ir_c_o_freq_cm1,ar1_ir_c_o_intensity_km_mol,ar1_q_a,ar1_nbo_q_a,ar1_q_b,ar1_nbo_q_b,ar1_q_c,ar1_nbo_q_c,ar1_q_d,ar1_nbo_q_d,ar1_q_e,ar1_nbo_q_e,ar1_q_f,ar1_nbo_q_f,ar1_q_g,ar1_nbo_q_g,ar1_q_mean,ar1_q_std,ar1_nbo_q_mean,ar1_nbo_q_std,ar1_nbo_bond_occ_c_a,ar1_nbo_bond_occ_c_d,ar1_nbo_bond_occ_c_e,ar1_nbo_bond_energy_c_a,ar1_nbo_bond_energy_c_d,ar1_nbo_bond_energy_c_e,ar1_bond_length_c_a,ar1_bond_length_c_d,ar1_bond_length_c_e,ar1_sterimol_L,ar1_sterimol_B1,ar1_sterimol_B5,ar1_Ar_NBO_C1,ar1_Ar_NBO_C2,ar1_Ar_NBO_OH,ar1_Ar_NBO_CO,ar1_Ar_v_CeqO,ar1_Ar_I_CeqO,ar1_Ar_Ster_L,ar1_Ar_Ster_B1,ar1_Ar_Ster_B5,ar1_Ar_dp,ar1_Ar_polar,ar1_Ar_HOMO,ar1_Ar_LUMO,ar2_scf_energy_hartree,ar2_gibbs_free_energy_hartree,ar2_enthalpy_hartree,ar2_dipole_total_debye,ar2_isotropic_polarizability_au,ar2_homo_hartree,ar2_lumo_hartree,ar2_gap_hartree,ar2_ir_c_o_freq_cm1,ar2_ir_c_o_intensity_km_mol,ar2_q_a,ar2_nbo_q_a,ar2_q_b,ar2_nbo_q_b,ar2_q_c,ar2_nbo_q_c,ar2_q_d,ar2_nbo_q_d,ar2_q_e,ar2_nbo_q_e,ar2_q_f,ar2_nbo_q_f,ar2_q_g,ar2_nbo_q_g,ar2_q_mean,ar2_q_std,ar2_nbo_q_mean,ar2_nbo_q_std,ar2_nbo_bond_occ_c_a,ar2_nbo_bond_occ_c_d,ar2_nbo_bond_occ_c_e,ar2_nbo_bond_energy_c_a,ar2_nbo_bond_energy_c_d,ar2_nbo_bond_energy_c_e,ar2_bond_length_c_a,ar2_bond_length_c_d,ar2_bond_length_c_e,ar2_sterimol_L,ar2_sterimol_B1,ar2_sterimol_B5,ar2_Ar_NBO_C1,ar2_Ar_NBO_C2,ar2_Ar_NBO_OH,ar2_Ar_NBO_CO,ar2_Ar_v_CeqO,ar2_Ar_I_CeqO,ar2_Ar_Ster_L,ar2_Ar_Ster_B1,ar2_Ar_Ster_B5,ar2_Ar_dp,ar2_Ar_polar,ar2_Ar_HOMO,ar2_Ar_LUMO
CF3,CF3,0.5134969088060996,CF3,CF3,-757.906298683,-757.824115,-757.773108,,137.31,-0.34294,19.42674,19.769679999999997,1854.4193,375.6318,-0.53894,-0.69813,0.301681,0.50114,0.430047,0.804,-0.924593,-0.59322,1.92139,-0.15913,-0.584105,-0.16141,-0.889792,-0.15025,-0.04061600000000002,0.9437297401735308,-0.06528571428571427,0.5044045713188442,,,,,,,1.344759299230907,1.2001347989671827,1.4890452807691914,6.246053654359382,0.0,2.231902966619222,0.804,-0.15913,-0.69813,-0.59322,1854.4193,375.6318,6.246053654359382,0.0,2.231902966619222,,137.31,-0.34294,19.42674,-757.906298683,-757.824115,-757.773108,,137.31,-0.34294,19.42674,19.769679999999997,1854.4193,375.6318,-0.53894,-0.69813,0.301681,0.50114,0.430047,0.804,-0.924593,-0.59322,1.92139,-0.15913,-0.584105,-0.16141,-0.889792,-0.15025,-0.04061600000000002,0.9437297401735308,-0.06528571428571427,0.5044045713188442,,,,,,,1.344759299230907,1.2001347989671827,1.4890452807691914,6.246053654359382,0.0,2.231902966619222,0.804,-0.15913,-0.69813,-0.59322,1854.4193,375.6318,6.246053654359382,0.0,2.231902966619222,,137.31,-0.34294,19.42674
OMe,CO2Me,0.4932487826021685,OMe,CO2Me,-535.347279032,-535.232782,-535.187039,,154.673,-0.29428,19.15568,19.44996,1838.6921,425.3788,-0.539642,-0.7043,0.294313,0.49718,0.376532,0.80596,-0.915095,-0.61237,1.809563,-0.22517,-0.331146,-0.12308,-1.031488,-0.12623,-0.04813757142857141,0.9093900368716318,-0.06971571428571428,0.5092792166205418,,,,,,,1.3492166612768313,1.20314608658633,1.4780443974214712,7.36861558334796,2.237726045912403e-16,2.2463412761427324,0.80596,-0.22517,-0.7043,-0.61237,1838.6921,425.3788,7.36861558334796,2.237726045912403e-16,2.2463412761427324,,154.673,-0.29428,19.15568,-648.705340759,-648.583805,-648.532713,,175.29,-0.33184,20.33874,20.67058,1831.8881,392.877,-0.305127,-0.54939,0.268508,0.18322,0.436292,0.83538,-1.002382,-0.61015,1.764347,-0.17972,-0.192048,-0.15564,-0.954302,-0.11192,0.0021839999999999954,0.8799984662572673,-0.08403142857142856,0.4512145379632484,,,,,,,1.3375910486022997,1.2021163498734224,1.4924802782315083,7.228152276867555,2.23772604975987e-16,2.3508366336749664,0.83538,-0.17972,-0.54939,-0.61015,1831.8881,392.877,7.228152276867555,2.23772604975987e-16,2.3508366336749664,,175.29,-0.33184,20.33874
CO2Me,H,0.48807669732467207,CO2Me,H,-648.705340759,-648.583805,-648.532713,,175.29,-0.33184,20.33874,20.67058,1831.8881,392.877,-0.305127,-0.54939,0.268508,0.18322,0.436292,0.83538,-1.002382,-0.61015,1.764347,-0.17972,-0.192048,-0.15564,-0.954302,-0.11192,0.0021839999999999954,0.8799984662572673,-0.08403142857142856,0.4512145379632484,,,,,,,1.3375910486022997,1.2021163498734224,1.4924802782315083,7.228152276867555,2.23772604975987e-16,2.3508366336749664,0.83538,-0.17972,-0.54939,-0.61015,1831.8881,392.877,7.228152276867555,2.23772604975987e-16,2.3508366336749664,,175.29,-0.33184,20.33874,-420.81890611,-420.734365,-420.694303,,115.789,-0.32424,19.02137,19.34561,1848.0244,391.1199,-0.517215,-0.70145,0.304029,0.49829,0.33386,0.80505,-0.910853,-0.6028,1.772444,-0.18103,-1.003031,-0.15298,-0.562353,-0.1626,-0.0833027142857143,0.9036714872064506,-0.07107428571428571,0.5069588588226618,,,,,,,1.3473714167552318,1.201455266566342,1.4853725495477557,5.33374050902257,0.0,2.232698572840585,0.80505,-0.18103,-0.70145,-0.6028,1848.0244,391.1199,5.33374050902257,0.0,2.232698572840585,,115.789,-0.32424,19.02137
H,H,0.45331005611505415,H,H,-420.81890611,-420.734365,-420.694303,,115.789,-0.32424,19.02137,19.34561,1848.0244,391.1199,-0.517215,-0.70145,0.304029,0.49829,0.33386,0.80505,-0.910853,-0.6028,1.772444,-0.18103,-1.003031,-0.15298,-0.562353,-0.1626,-0.0833027142857143,0.9036714872064506,-0.07107428571428571,0.5069588588226618,,,,,,,1.3473714167552318,1.201455266566342,1.4853725495477557,5.33374050902257,0.0,2.232698572840585,0.80505,-0.18103,-0.70145,-0.6028,1848.0244,391.1199,5.33374050902257,0.0,2.232698572840585,,115.789,-0.32424,19.02137,-420.81890611,-420.734365,-420.694303,,115.789,-0.32424,19.02137,19.34561,1848.0244,391.1199,-0.517215,-0.70145,0.304029,0.49829,0.33386,0.80505,-0.910853,-0.6028,1.772444,-0.18103,-1.003031,-0.15298,-0.562353,-0.1626,-0.0833027142857143,0.9036714872064506,-0.07107428571428571,0.5069588588226618,,,,,,,1.3473714167552318,1.201455266566342,1.4853725495477557,5.33374050902257,0.0,2.232698572840585,0.80505,-0.18103,-0.70145,-0.6028,1848.0244,391.1199,5.33374050902257,0.0,2.232698572840585,,115.789,-0.32424,19.02137
H,H,0.4449886077186181,H,H,-420.81890611,-420.734365,-420.694303,,115.789,-0.32424,19.02137,19.34561,1848.0244,391.1199,-0.517215,-0.70145,0.304029,0.49829,0.33386,0.80505,-0.910853,-0.6028,1.772444,-0.18103,-1.003031,-0.15298,-0.562353,-0.1626,-0.0833027142857143,0.9036714872064506,-0.07107428571428571,0.5069588588226618,,,,,,,1.3473714167552318,1.201455266566342,1.4853725495477557,5.33374050902257,0.0,2.232698572840585,0.80505,-0.18103,-0.70145,-0.6028,1848.0244,391.1199,5.33374050902257,0.0,2.232698572840585,,115.789,-0.32424,19.02137,-420.81890611,-420.734365,-420.694303,,115.789,-0.32424,19.02137,19.34561,1848.0244,391.1199,-0.517215,-0.70145,0.304029,0.49829,0.33386,0.80505,-0.910853,-0.6028,1.772444,-0.18103,-1.003031,-0.15298,-0.562353,-0.1626,-0.0833027142857143,0.9036714872064506,-0.07107428571428571,0.5069588588226618,,,,,,,1.3473714167552318,1.201455266566342,1.4853725495477557,5.33374050902257,0.0,2.232698572840585,0.80505,-0.18103,-0.70145,-0.6028,1848.0244,391.1199,5.33374050902257,0.0,2.232698572840585,,115.789,-0.32424,19.02137
OMe,CF3,0.3985177170541645,OMe,CF3,-535.347279032,-535.232782,-535.187039,,154.673,-0.29428,19.15568,19.44996,1838.6921,425.3788,-0.539642,-0.7043,0.294313,0.49718,0.376532,0.80596,-0.915095,-0.61237,1.809563,-0.22517,-0.331146,-0.12308,-1.031488,-0.12623,-0.04813757142857141,0.9093900368716318,-0.06971571428571428,0.5092792166205418,,,,,,,1.3492166612768313,1.20314608658633,1.4780443974214712,7.36861558334796,2.237726045912403e-16,2.2463412761427324,0.80596,-0.22517,-0.7043,-0.61237,1838.6921,425.3788,7.36861558334796,2.237726045912403e-16,2.2463412761427324,,154.673,-0.29428,19.15568,-757.906298683,-757.824115,-757.773108,,137.31,-0.34294,19.42674,19.769679999999997,1854.4193,375.6318,-0.53894,-0.69813,0.301681,0.50114,0.430047,0.804,-0.924593,-0.59322,1.92139,-0.15913,-0.584105,-0.16141,-0.889792,-0.15025,-0.04061600000000002,0.9437297401735308,-0.06528571428571427,0.5044045713188442,,,,,,,1.344759299230907,1.2001347989671827,1.4890452807691914,6.246053654359382,0.0,2.231902966619222,0.804,-0.15913,-0.69813,-0.59322,1854.4193,375.6318,6.246053654359382,0.0,2.231902966619222,,137.31,-0.34294,19.42674
H,CF3,0.37383914624574816,H,CF3,-420.81890611,-420.734365,-420.694303,,115.789,-0.32424,19.02137,19.34561,1848.0244,391.1199,-0.517215,-0.70145,0.304029,0.49829,0.33386,0.80505,-0.910853,-0.6028,1.772444,-0.18103,-1.003031,-0.15298,-0.562353,-0.1626,-0.0833027142857143,0.9036714872064506,-0.07107428571428571,0.5069588588226618,,,,,,,1.3473714167552318,1.201455266566342,1.4853725495477557,5.33374050902257,0.0,2.232698572840585,0.80505,-0.18103,-0.70145,-0.6028,1848.0244,391.1199,5.33374050902257,0.0,2.232698572840585,,115.789,-0.32424,19.02137,-757.906298683,-757.824115,-757.773108,,137.31,-0.34294,19.42674,19.769679999999997,1854.4193,375.6318,-0.53894,-0.69813,0.301681,0.50114,0.430047,0.804,-0.924593,-0.59322,1.92139,-0.15913,-0.584105,-0.16141,-0.889792,-0.15025,-0.04061600000000002,0.9437297401735308,-0.06528571428571427,0.5044045713188442,,,,,,,1.344759299230907,1.2001347989671827,1.4890452807691914,6.246053654359382,0.0,2.231902966619222,0.804,-0.15913,-0.69813,-0.59322,1854.4193,375.6318,6.246053654359382,0.0,2.231902966619222,,137.31,-0.34294,19.42674
H,Ph,0.30722968446046217,H,Ph,-420.81890611,-420.734365,-420.694303,,115.789,-0.32424,19.02137,19.34561,1848.0244,391.1199,-0.517215,-0.70145,0.304029,0.49829,0.33386,0.80505,-0.910853,-0.6028,1.772444,-0.18103,-1.003031,-0.15298,-0.562353,-0.1626,-0.0833027142857143,0.9036714872064506,-0.07107428571428571,0.5069588588226618,,,,,,,1.3473714167552318,1.201455266566342,1.4853725495477557,5.33374050902257,0.0,2.232698572840585,0.80505,-0.18103,-0.70145,-0.6028,1848.0244,391.1199,5.33374050902257,0.0,2.232698572840585,,115.789,-0.32424,19.02137,-651.86186354,-651.702527,-651.651059,,251.252,-0.29315,19.88508,20.17823,1844.5811,465.2161,-0.536712,-0.70715,0.29655,0.49806,0.347203,0.80734,-0.921941,-0.60974,1.960133,-0.07418,-0.385692,-0.20055,-0.715987,-0.19132,0.0062219999999999975,0.914156355168758,-0.06822,0.5101056148065249,,,,,,,1.3477525644813293,1.2018803558844782,1.4833814459895336,9.628490875873995,2.2250491372754983e-16,2.3324612356019667,0.80734,-0.07418,-0.70715,-0.60974,1844.5811,465.2161,9.628490875873995,2.2250491372754983e-16,2.3324612356019667,,251.252,-0.29315,19.88508
CF3,OCF3,0.28933708477561687,CF3,OCF3,-757.906298683,-757.824115,-757.773108,,137.31,-0.34294,19.42674,19.769679999999997,1854.4193,375.6318,-0.53894,-0.69813,0.301681,0.50114,0.430047,0.804,-0.924593,-0.59322,1.92139,-0.15913,-0.584105,-0.16141,-0.889792,-0.15025,-0.04061600000000002,0.9437297401735308,-0.06528571428571427,0.5044045713188442,,,,,,,1.344759299230907,1.2001347989671827,1.4890452807691914,6.246053654359382,0.0,2.231902966619222,0.804,-0.15913,-0.69813,-0.59322,1854.4193,375.6318,6.246053654359382,0.0,2.231902966619222,,137.31,-0.34294,19.42674,-833.136718868,-833.049571,-832.998079,,150.503,-0.32519,18.24102,18.566209999999998,1848.7184,403.831,-0.537132,-0.70108,0.298081,0.49987,0.441628,0.80547,-0.925996,-0.60103,1.763808,-0.20365,-0.601045,-0.13933,-0.866637,-0.11431,-0.06104185714285715,0.8965901783008505,-0.06486571428571428,0.5065150098426683,,,,,,,1.3465485758972828,1.2012944572277022,1.4832032385539748,7.681024703706791,2.237726045671936e-16,2.2144059753670104,0.80547,-0.20365,-0.70108,-0.60103,1848.7184,403.831,7.681024703706791,2.237726045671936e-16,2.2144059753670104,,150.503,-0.32519,18.24102
H,OCF3,0.20765899936931886,H,OCF3,-420.81890611,-420.734365,-420.694303,,115.789,-0.32424,19.02137,19.34561,1848.0244,391.1199,-0.517215,-0.70145,0.304029,0.49829,0.33386,0.80505,-0.910853,-0.6028,1.772444,-0.18103,-1.003031,-0.15298,-0.562353,-0.1626,-0.0833027142857143,0.9036714872064506,-0.07107428571428571,0.5069588588226618,,,,,,,1.3473714167552318,1.201455266566342,1.4853725495477557,5.33374050902257,0.0,2.232698572840585,0.80505,-0.18103,-0.70145,-0.6028,1848.0244,391.1199,5.33374050902257,0.0,2.232698572840585,,115.789,-0.32424,19.02137,-833.136718868,-833.049571,-832.998079,,150.503,-0.32519,18.24102,18.566209999999998,1848.7184,403.831,-0.537132,-0.70108,0.298081,0.49987,0.441628,0.80547,-0.925996,-0.60103,1.763808,-0.20365,-0.601045,-0.13933,-0.866637,-0.11431,-0.06104185714285715,0.8965901783008505,-0.06486571428571428,0.5065150098426683,,,,,,,1.3465485758972828,1.2012944572277022,1.4832032385539748,7.681024703706791,2.237726045671936e-16,2.2144059753670104,0.80547,-0.20365,-0.70108,-0.60103,1848.7184,403.831,7.681024703706791,2.237726045671936e-16,2.2144059753670104,,150.503,-0.32519,18.24102
OCF3,OCF3,0.08789432703104139,OCF3,OCF3,-833.136718868,-833.049571,-832.998079,,150.503,-0.32519,18.24102,18.566209999999998,1848.7184,403.831,-0.537132,-0.70108,0.298081,0.49987,0.441628,0.80547,-0.925996,-0.60103,1.763808,-0.20365,-0.601045,-0.13933,-0.866637,-0.11431,-0.06104185714285715,0.8965901783008505,-0.06486571428571428,0.5065150098426683,,,,,,,1.3465485758972828,1.2012944572277022,1.4832032385539748,7.681024703706791,2.237726045671936e-16,2.2144059753670104,0.80547,-0.20365,-0.70108,-0.60103,1848.7184,403.831,7.681024703706791,2.237726045671936e-16,2.2144059753670104,,150.503,-0.32519,18.24102,-833.136718868,-833.049571,-832.998079,,150.503,-0.32519,18.24102,18.566209999999998,1848.7184,403.831,-0.537132,-0.70108,0.298081,0.49987,0.441628,0.80547,-0.925996,-0.60103,1.763808,-0.20365,-0.601045,-0.13933,-0.866637,-0.11431,-0.06104185714285715,0.8965901783008505,-0.06486571428571428,0.5065150098426683,,,,,,,1.3465485758972828,1.2012944572277022,1.4832032385539748,7.681024703706791,2.237726045671936e-16,2.2144059753670104,0.80547,-0.20365,-0.70108,-0.60103,1848.7184,403.831,7.681024703706791,2.237726045671936e-16,2.2144059753670104,,150.503,-0.32519,18.24102
