Compound,Ar1,Ar2,rate kobs (s-1),ln(kobs),_join1,_join2,ar1_scf_energy_hartree,ar1_gibbs_free_energy_hartree,ar1_enthalpy_hartree,ar1_dipole_total_debye,ar1_isotropic_polarizability_au,ar1_homo_hartree,ar1_lumo_hartree,ar1_gap_hartree,ar1_ir_c_o_freq_cm1,ar1_ir_c_o_intensity_km_mol,ar1_q_a,ar1_nbo_q_a,ar1_q_b,ar1_nbo_q_b,ar1_q_c,ar1_nbo_q_c,ar1_q_d,ar1_nbo_q_d,ar1_q_e,ar1_nbo_q_e,ar1_q_f,ar1_nbo_q_f,ar1_q_g,ar1_nbo_q_g,ar1_q_mean,ar1_q_std,ar1_nbo_q_mean,ar1_nbo_q_std,ar1_nbo_bond_occ_c_a,ar1_nbo_bond_occ_c_d,ar1_nbo_bond_occ_c_e,ar1_nbo_bond_energy_c_a,ar1_nbo_bond_energy_c_d,ar1_nbo_bond_energy_c_e,ar1_bond_length_c_a,ar1_bond_length_c_d,ar1_bond_length_c_e,ar1_sterimol_L,ar1_sterimol_B1,ar1_sterimol_B5,ar1_Ar_NBO_C1,ar1_Ar_NBO_C2,ar1_Ar_NBO_OH,ar1_Ar_NBO_CO,ar1_Ar_v_CeqO,ar1_Ar_I_CeqO,ar1_Ar_Ster_L,ar1_Ar_Ster_B1,ar1_Ar_Ster_B5,ar1_Ar_dp,ar1_Ar_polar,ar1_Ar_HOMO,ar1_Ar_LUMO,ar2_scf_energy_hartree,ar2_gibbs_free_energy_hartree,ar2_enthalpy_hartree,ar2_dipole_total_debye,ar2_isotropic_polarizability_au,ar2_homo_hartree,ar2_lumo_hartree,ar2_gap_hartree,ar2_ir_c_o_freq_cm1,ar2_ir_c_o_intensity_km_mol,ar2_q_a,ar2_nbo_q_a,ar2_q_b,ar2_nbo_q_b,ar2_q_c,ar2_nbo_q_c,ar2_q_d,ar2_nbo_q_d,ar2_q_e,ar2_nbo_q_e,ar2_q_f,ar2_nbo_q_f,ar2_q_g,ar2_nbo_q_g,ar2_q_mean,ar2_q_std,ar2_nbo_q_mean,ar2_nbo_q_std,ar2_nbo_bond_occ_c_a,ar2_nbo_bond_occ_c_d,ar2_nbo_bond_occ_c_e,ar2_nbo_bond_energy_c_a,ar2_nbo_bond_energy_c_d,ar2_nbo_bond_energy_c_e,ar2_bond_length_c_a,ar2_bond_length_c_d,ar2_bond_length_c_e,ar2_sterimol_L,ar2_sterimol_B1,ar2_sterimol_B5,ar2_Ar_NBO_C1,ar2_Ar_NBO_C2,ar2_Ar_NBO_OH,ar2_Ar_NBO_CO,ar2_Ar_v_CeqO,ar2_Ar_I_CeqO,ar2_Ar_Ster_L,ar2_Ar_Ster_B1,ar2_Ar_Ster_B5,ar2_Ar_dp,ar2_Ar_polar,ar2_Ar_HOMO,ar2_Ar_LUMO
A11,1,12,0.033,-3.4112477175156566,1,12,-420.818906317,-420.734362,-420.694299,,115.774,-0.32424,19.02267,19.34691,1847.7615,390.8977,-0.517274,-0.70144,0.304114,0.49831,0.333826,0.8051,-0.910813,-0.60285,1.772847,-0.18103,-0.562666,-0.16262,-1.003185,-0.15303,-0.0833072857142857,0.9038375933078296,-0.07107999999999999,0.5069817978699319,,,,,,,1.347350318872564,1.2015015970551184,1.4855092607085962,6.8336858391590045,1.700503776595012,3.332126134121967,0.8051,-0.18103,-0.70144,-0.60285,1847.7615,390.8977,6.8336858391590045,1.700503776595012,3.332126134121967,,115.774,-0.32424,19.02267,-516.683882224,-516.536709,-516.488443,,140.259,-0.26907,20.8249,21.09397,1804.4049,601.0244,-0.491806,-0.70137,0.268801,0.49452,0.316975,0.78092,-0.981182,-0.64056,0.851529,-0.03746,0.001188,-0.33957,0.595883,-0.00862,0.08019828571428571,0.5870599422594193,-0.06459142857142859,0.5132813263261211,,,,,,,1.3527762096126619,1.210287700600564,1.447783461710003,7.032600502549073,1.9786637147969952,4.335406103048587,0.78092,-0.03746,-0.70137,-0.64056,1804.4049,601.0244,7.032600502549073,1.9786637147969952,4.335406103048587,,140.259,-0.26907,20.8249
A12,1,13,6.5e-05,-9.641123288068638,1,13,-420.818906317,-420.734362,-420.694299,,115.774,-0.32424,19.02267,19.34691,1847.7615,390.8977,-0.517274,-0.70144,0.304114,0.49831,0.333826,0.8051,-0.910813,-0.60285,1.772847,-0.18103,-0.562666,-0.16262,-1.003185,-0.15303,-0.0833072857142857,0.9038375933078296,-0.07107999999999999,0.5069817978699319,,,,,,,1.347350318872564,1.2015015970551184,1.4855092607085962,6.8336858391590045,1.700503776595012,3.332126134121967,0.8051,-0.18103,-0.70144,-0.60285,1847.7615,390.8977,6.8336858391590045,1.700503776595012,3.332126134121967,,115.774,-0.32424,19.02267,-438.060272148,-437.965692,-437.924015,,109.976,-0.28559,19.45638,19.74197,1818.3562,514.294,-0.553216,-0.6948,0.276026,0.49518,0.522576,0.78284,-0.919117,-0.62828,1.00065,-0.0251,0.194317,-0.33576,-0.645038,-0.21582,-0.017685999999999997,0.6495101460835147,-0.08882,0.5127300333369543,,,,,,,1.3483994856147046,1.2079382283415818,1.4530228865726789,6.056941570119451,1.779644922808749,4.296040238889178,0.78284,-0.0251,-0.6948,-0.62828,1818.3562,514.294,6.056941570119451,1.779644922808749,4.296040238889178,,109.976,-0.28559,19.45638
A13,1,14,2.2e-05,-10.724468104605958,1,14,-420.818906317,-420.734362,-420.694299,,115.774,-0.32424,19.02267,19.34691,1847.7615,390.8977,-0.517274,-0.70144,0.304114,0.49831,0.333826,0.8051,-0.910813,-0.60285,1.772847,-0.18103,-0.562666,-0.16262,-1.003185,-0.15303,-0.0833072857142857,0.9038375933078296,-0.07107999999999999,0.5069817978699319,,,,,,,1.347350318872564,1.2015015970551184,1.4855092607085962,6.8336858391590045,1.700503776595012,3.332126134121967,0.8051,-0.18103,-0.70144,-0.60285,1847.7615,390.8977,6.8336858391590045,1.700503776595012,3.332126134121967,,115.774,-0.32424,19.02267,-454.102604965,-454.020103,-453.978187,,104.339,-0.30069,17.84138,18.14207,1874.9616,462.9597,-0.452996,-0.71689,0.303128,0.50122,0.553609,0.76988,-0.8995,-0.56322,0.488215,0.20043,0.40183,-0.34832,-0.717039,-0.39958,-0.046107571428571414,0.5746750561249765,-0.07949714285714286,0.528070525179417,,,,,,,1.355246990057163,1.194616864926157,1.4746428987877032,5.8960631767700065,1.758951247736456,4.220760238033352,0.76988,0.20043,-0.71689,-0.56322,1874.9616,462.9597,5.8960631767700065,1.758951247736456,4.220760238033352,,104.339,-0.30069,17.84138
A14,1,15,3.3e-06,-12.621588089491839,1,15,-420.818906317,-420.734362,-420.694299,,115.774,-0.32424,19.02267,19.34691,1847.7615,390.8977,-0.517274,-0.70144,0.304114,0.49831,0.333826,0.8051,-0.910813,-0.60285,1.772847,-0.18103,-0.562666,-0.16262,-1.003185,-0.15303,-0.0833072857142857,0.9038375933078296,-0.07107999999999999,0.5069817978699319,,,,,,,1.347350318872564,1.2015015970551184,1.4855092607085962,6.8336858391590045,1.700503776595012,3.332126134121967,0.8051,-0.18103,-0.70144,-0.60285,1847.7615,390.8977,6.8336858391590045,1.700503776595012,3.332126134121967,,115.774,-0.32424,19.02267,-454.107692894,-454.026468,-453.983342,,109.38,-0.30542,17.65641,17.961830000000003,1874.9541,497.3394,-0.50359,-0.71207,0.289425,0.49525,0.553185,0.78676,-0.85401,-0.5783,1.220465,-0.04939,-0.873454,-0.42149,-0.716903,-0.02097,-0.1264117142857143,0.7585007402048775,-0.07145857142857141,0.5141604913540011,,,,,,,1.3557373530975678,1.1970440598649659,1.468937321025305,7.128499796926032,1.7781362645618384,3.279801691385013,0.78676,-0.04939,-0.71207,-0.5783,1874.9541,497.3394,7.128499796926032,1.7781362645618384,3.279801691385013,,109.38,-0.30542,17.65641
A15,1,16,1.2e-06,-13.633189001170319,1,16,-420.818906317,-420.734362,-420.694299,,115.774,-0.32424,19.02267,19.34691,1847.7615,390.8977,-0.517274,-0.70144,0.304114,0.49831,0.333826,0.8051,-0.910813,-0.60285,1.772847,-0.18103,-0.562666,-0.16262,-1.003185,-0.15303,-0.0833072857142857,0.9038375933078296,-0.07107999999999999,0.5069817978699319,,,,,,,1.347350318872564,1.2015015970551184,1.4855092607085962,6.8336858391590045,1.700503776595012,3.332126134121967,0.8051,-0.18103,-0.70144,-0.60285,1847.7615,390.8977,6.8336858391590045,1.700503776595012,3.332126134121967,,115.774,-0.32424,19.02267,-454.112794351,-454.029214,-453.987947,,100.111,-0.30635,17.8439,18.15025,1827.9403,501.3235,-0.532686,-0.69009,0.282519,0.49733,0.509086,0.78456,-0.901797,-0.61972,0.783051,-0.06014,0.169273,-0.34465,-0.209337,0.00375,0.014301285714285747,0.550349272715509,-0.061279999999999994,0.5098005835338252,,,,,,,1.3452896474532907,1.2063189067850175,1.4538091224730985,5.800613444194903,1.7769325798695739,4.278690917383525,0.78456,-0.06014,-0.69009,-0.61972,1827.9403,501.3235,5.800613444194903,1.7769325798695739,4.278690917383525,,100.111,-0.30635,17.8439
A16,17,7,7.84e-08,-16.36144190959005,17,7,-619.307875166,-619.240739,-619.198915,,116.06,-0.32441,19.27382,19.59823,1851.8025,463.0057,-0.481568,-0.68469,0.295646,0.49787,0.301804,0.8029,-0.887526,-0.57948,1.114305,-0.30472,0.692812,0.4698,0.32402,0.47963,0.19421328571428573,0.6280040729355445,0.09733,0.557343157489172,,,,,,,1.3425633107831452,1.1987227468472432,1.491124274406731,6.8841399507758965,1.7003664110669352,3.8305916408799563,0.8029,-0.30472,-0.68469,-0.57948,1851.8025,463.0057,6.8841399507758965,1.7003664110669352,3.8305916408799563,,116.06,-0.32441,19.27382,-532.724572071,-532.590117,-532.541019,,129.968,-0.30611,19.08554,19.391650000000002,1818.3172,462.3003,-0.502048,-0.70255,0.283778,0.49458,0.20642,0.807,-0.957208,-0.63143,2.431355,-0.30777,0.598034,0.19915,-1.145035,0.25485,0.1307565714285714,1.1181614057304528,0.016261428571428576,0.5325973154920965,,,,,,,1.3516652155030846,1.2079783888302802,1.4513392750649312,7.037362966538236,1.9830745592249481,4.344020993707346,0.807,-0.30777,-0.70255,-0.63143,1818.3172,462.3003,7.037362966538236,1.9830745592249481,4.344020993707346,,129.968,-0.30611,19.08554
A17,18,7,6.95e-06,-11.876768898387573,18,7,-1340.02543999,-1339.965603,-1339.917936,,137.982,-0.31809,18.89929,19.217380000000002,1879.2333,329.549,-0.494627,-0.68328,0.275241,0.49808,0.077148,0.82347,-0.785711,-0.5659,1.187314,-0.19635,0.487527,0.00298,0.487126,0.00297,0.1762882857142857,0.6107200666982529,-0.016861428571428548,0.49998310901265375,,,,,,,1.33850460234883,1.194600342233753,1.5004584295637786,6.860606657295673,2.470300247482061,4.443619486131999,0.82347,-0.19635,-0.68328,-0.5659,1879.2333,329.549,6.860606657295673,2.470300247482061,4.443619486131999,,137.982,-0.31809,18.89929,-532.724572071,-532.590117,-532.541019,,129.968,-0.30611,19.08554,19.391650000000002,1818.3172,462.3003,-0.502048,-0.70255,0.283778,0.49458,0.20642,0.807,-0.957208,-0.63143,2.431355,-0.30777,0.598034,0.19915,-1.145035,0.25485,0.1307565714285714,1.1181614057304528,0.016261428571428576,0.5325973154920965,,,,,,,1.3516652155030846,1.2079783888302802,1.4513392750649312,7.037362966538236,1.9830745592249481,4.344020993707346,0.807,-0.30777,-0.70255,-0.63143,1818.3172,462.3003,7.037362966538236,1.9830745592249481,4.344020993707346,,129.968,-0.30611,19.08554
A18,19,7,7.22e-08,-16.44382579104763,19,7,-649.859706021,-649.717963,-649.664084,,152.355,-0.28486,20.51128,20.796139999999998,1870.6625,379.1861,-0.515811,-0.68764,0.258875,0.49144,0.594837,0.83503,-0.792259,-0.58128,1.609127,-0.23183,0.417898,0.36432,0.417893,0.36431,0.2843657142857143,0.7257605485429385,0.07919285714285715,0.5378288375553346,,,,,,,1.3433585905219052,1.1966502342727385,1.4964733320480523,6.83331100238325,2.493583109259942,5.417906856322794,0.83503,-0.23183,-0.68764,-0.58128,1870.6625,379.1861,6.83331100238325,2.493583109259942,5.417906856322794,,152.355,-0.28486,20.51128,-532.724572071,-532.590117,-532.541019,,129.968,-0.30611,19.08554,19.391650000000002,1818.3172,462.3003,-0.502048,-0.70255,0.283778,0.49458,0.20642,0.807,-0.957208,-0.63143,2.431355,-0.30777,0.598034,0.19915,-1.145035,0.25485,0.1307565714285714,1.1181614057304528,0.016261428571428576,0.5325973154920965,,,,,,,1.3516652155030846,1.2079783888302802,1.4513392750649312,7.037362966538236,1.9830745592249481,4.344020993707346,0.807,-0.30777,-0.70255,-0.63143,1818.3172,462.3003,7.037362966538236,1.9830745592249481,4.344020993707346,,129.968,-0.30611,19.08554
A19,20,21,6.642302700361739e-06,-11.922051862371303,20,21,-634.592843006,-634.488145,-634.439968,,155.157,-0.30144,19.69918,20.000619999999998,1853.8271,486.3985,-0.536592,-0.70992,0.298415,0.49847,0.423056,0.80216,-0.905418,-0.58794,1.367851,-0.29119,-0.123558,-0.12757,0.174591,0.51781,0.09976357142857142,0.6785316272348394,0.014545714285714289,0.5489346472904751,,,,,,,1.3533182628982732,1.1997605887534395,1.4782506079542128,8.917473499566201,1.8196438669437816,3.8301102742623936,0.80216,-0.29119,-0.70992,-0.58794,1853.8271,486.3985,8.917473499566201,1.8196438669437816,3.8301102742623936,,155.157,-0.30144,19.69918,-535.347278797,-535.232775,-535.18704,,154.674,-0.29425,19.15648,19.45073,1839.1879,425.5851,-0.539428,-0.70439,0.294183,0.49711,0.3769,0.80601,-0.915113,-0.61226,1.809165,-0.22518,-0.331065,-0.12308,-1.032009,-0.12632,-0.04819528571428571,0.9093543020044049,-0.06973,0.5092815110946569,,,,,,,1.3494665572414162,1.2030369788456212,1.4780960984391371,8.86796669735167,1.8116002195406362,3.346987029020636,0.80601,-0.22518,-0.70439,-0.61226,1839.1879,425.5851,8.86796669735167,1.8116002195406362,3.346987029020636,,154.674,-0.29425,19.15648
A20,20,20,4.612463577681359e-06,-12.28674844506645,20,20,-634.592843006,-634.488145,-634.439968,,155.157,-0.30144,19.69918,20.000619999999998,1853.8271,486.3985,-0.536592,-0.70992,0.298415,0.49847,0.423056,0.80216,-0.905418,-0.58794,1.367851,-0.29119,-0.123558,-0.12757,0.174591,0.51781,0.09976357142857142,0.6785316272348394,0.014545714285714289,0.5489346472904751,,,,,,,1.3533182628982732,1.1997605887534395,1.4782506079542128,8.917473499566201,1.8196438669437816,3.8301102742623936,0.80216,-0.29119,-0.70992,-0.58794,1853.8271,486.3985,8.917473499566201,1.8196438669437816,3.8301102742623936,,155.157,-0.30144,19.69918,-634.592843006,-634.488145,-634.439968,,155.157,-0.30144,19.69918,20.000619999999998,1853.8271,486.3985,-0.536592,-0.70992,0.298415,0.49847,0.423056,0.80216,-0.905418,-0.58794,1.367851,-0.29119,-0.123558,-0.12757,0.174591,0.51781,0.09976357142857142,0.6785316272348394,0.014545714285714289,0.5489346472904751,,,,,,,1.3533182628982732,1.1997605887534395,1.4782506079542128,8.917473499566201,1.8196438669437816,3.8301102742623936,0.80216,-0.29119,-0.70992,-0.58794,1853.8271,486.3985,8.917473499566201,1.8196438669437816,3.8301102742623936,,155.157,-0.30144,19.69918
A21,22,21,6.448643698042311e-07,-14.254225821635732,22,21,-733.836843909,-733.739763,-733.692186,,155.271,-0.31121,20.18897,20.50018,1702.3921,608.7613,-0.505662,-0.68764,0.290095,0.49658,0.269508,0.80298,-0.900117,-0.58943,1.061783,-0.34875,0.718047,0.48707,0.435248,0.53107,0.19555742857142858,0.6310321298971475,0.09884000000000001,0.571234095671068,,,,,,,1.3444997612677363,1.2002552389029593,1.484025932017699,8.908396703689732,1.8093087365140503,3.826806270610165,0.80298,-0.34875,-0.68764,-0.58943,1702.3921,608.7613,8.908396703689732,1.8093087365140503,3.826806270610165,,155.271,-0.31121,20.18897,-535.347278797,-535.232775,-535.18704,,154.674,-0.29425,19.15648,19.45073,1839.1879,425.5851,-0.539428,-0.70439,0.294183,0.49711,0.3769,0.80601,-0.915113,-0.61226,1.809165,-0.22518,-0.331065,-0.12308,-1.032009,-0.12632,-0.04819528571428571,0.9093543020044049,-0.06973,0.5092815110946569,,,,,,,1.3494665572414162,1.2030369788456212,1.4780960984391371,8.86796669735167,1.8116002195406362,3.346987029020636,0.80601,-0.22518,-0.70439,-0.61226,1839.1879,425.5851,8.86796669735167,1.8116002195406362,3.346987029020636,,154.674,-0.29425,19.15648
A22,23,21,0.06578947368421052,-2.7212954278522306,23,21,-746.714450073,-746.49595,-746.43839,,206.801,-0.25768,20.12575,20.38343,1817.1094,454.7975,-0.608085,-0.71205,0.288625,0.49503,0.317314,0.80679,-0.91796,-0.62637,1.416144,-0.25758,-0.447834,-0.13562,0.275843,0.26924,0.04629242857142858,0.7234360523013681,-0.02293714285714284,0.5276453104044768,,,,,,,1.3567601326549952,1.206423872556408,1.4738557356814133,8.830378873175796,2.1491216702401514,6.735854799478611,0.80679,-0.25758,-0.71205,-0.62637,1817.1094,454.7975,8.830378873175796,2.1491216702401514,6.735854799478611,,206.801,-0.25768,20.12575,-535.347278797,-535.232775,-535.18704,,154.674,-0.29425,19.15648,19.45073,1839.1879,425.5851,-0.539428,-0.70439,0.294183,0.49711,0.3769,0.80601,-0.915113,-0.61226,1.809165,-0.22518,-0.331065,-0.12308,-1.032009,-0.12632,-0.04819528571428571,0.9093543020044049,-0.06973,0.5092815110946569,,,,,,,1.3494665572414162,1.2030369788456212,1.4780960984391371,8.86796669735167,1.8116002195406362,3.346987029020636,0.80601,-0.22518,-0.70439,-0.61226,1839.1879,425.5851,8.86796669735167,1.8116002195406362,3.346987029020636,,154.674,-0.29425,19.15648
A23,24,21,3.0579132066378734e-05,-10.395192740260562,24,21,-786.0273486,-785.780357,-785.721332,,209.801,-0.2489,19.35289,19.601789999999998,1818.5688,437.8394,-0.628464,-0.71277,0.285403,0.4944,0.396356,0.79865,-0.933613,-0.6235,1.281938,-0.28494,-0.42458,-0.08326,0.681394,0.27543,0.09406199999999999,0.7300832203818567,-0.019427142857142882,0.5264991282509208,,,,,,,1.357460718838302,1.2061390373605358,1.473355518649182,8.800680681870249,2.2858411463751214,6.985666681785057,0.79865,-0.28494,-0.71277,-0.6235,1818.5688,437.8394,8.800680681870249,2.2858411463751214,6.985666681785057,,209.801,-0.2489,19.35289,-535.347278797,-535.232775,-535.18704,,154.674,-0.29425,19.15648,19.45073,1839.1879,425.5851,-0.539428,-0.70439,0.294183,0.49711,0.3769,0.80601,-0.915113,-0.61226,1.809165,-0.22518,-0.331065,-0.12308,-1.032009,-0.12632,-0.04819528571428571,0.9093543020044049,-0.06973,0.5092815110946569,,,,,,,1.3494665572414162,1.2030369788456212,1.4780960984391371,8.86796669735167,1.8116002195406362,3.346987029020636,0.80601,-0.22518,-0.70439,-0.61226,1839.1879,425.5851,8.86796669735167,1.8116002195406362,3.346987029020636,,154.674,-0.29425,19.15648
A24,20,23,0.0038632921530857333,-5.556235569608442,20,23,-634.592843006,-634.488145,-634.439968,,155.157,-0.30144,19.69918,20.000619999999998,1853.8271,486.3985,-0.536592,-0.70992,0.298415,0.49847,0.423056,0.80216,-0.905418,-0.58794,1.367851,-0.29119,-0.123558,-0.12757,0.174591,0.51781,0.09976357142857142,0.6785316272348394,0.014545714285714289,0.5489346472904751,,,,,,,1.3533182628982732,1.1997605887534395,1.4782506079542128,8.917473499566201,1.8196438669437816,3.8301102742623936,0.80216,-0.29119,-0.70992,-0.58794,1853.8271,486.3985,8.917473499566201,1.8196438669437816,3.8301102742623936,,155.157,-0.30144,19.69918,-746.714450073,-746.49595,-746.43839,,206.801,-0.25768,20.12575,20.38343,1817.1094,454.7975,-0.608085,-0.71205,0.288625,0.49503,0.317314,0.80679,-0.91796,-0.62637,1.416144,-0.25758,-0.447834,-0.13562,0.275843,0.26924,0.04629242857142858,0.7234360523013681,-0.02293714285714284,0.5276453104044768,,,,,,,1.3567601326549952,1.206423872556408,1.4738557356814133,8.830378873175796,2.1491216702401514,6.735854799478611,0.80679,-0.25758,-0.71205,-0.62637,1817.1094,454.7975,8.830378873175796,2.1491216702401514,6.735854799478611,,206.801,-0.25768,20.12575
A25,23,23,0.8264462809917356,-0.1906203596086497,23,23,-746.714450073,-746.49595,-746.43839,,206.801,-0.25768,20.12575,20.38343,1817.1094,454.7975,-0.608085,-0.71205,0.288625,0.49503,0.317314,0.80679,-0.91796,-0.62637,1.416144,-0.25758,-0.447834,-0.13562,0.275843,0.26924,0.04629242857142858,0.7234360523013681,-0.02293714285714284,0.5276453104044768,,,,,,,1.3567601326549952,1.206423872556408,1.4738557356814133,8.830378873175796,2.1491216702401514,6.735854799478611,0.80679,-0.25758,-0.71205,-0.62637,1817.1094,454.7975,8.830378873175796,2.1491216702401514,6.735854799478611,,206.801,-0.25768,20.12575,-746.714450073,-746.49595,-746.43839,,206.801,-0.25768,20.12575,20.38343,1817.1094,454.7975,-0.608085,-0.71205,0.288625,0.49503,0.317314,0.80679,-0.91796,-0.62637,1.416144,-0.25758,-0.447834,-0.13562,0.275843,0.26924,0.04629242857142858,0.7234360523013681,-0.02293714285714284,0.5276453104044768,,,,,,,1.3567601326549952,1.206423872556408,1.4738557356814133,8.830378873175796,2.1491216702401514,6.735854799478611,0.80679,-0.25758,-0.71205,-0.62637,1817.1094,454.7975,8.830378873175796,2.1491216702401514,6.735854799478611,,206.801,-0.25768,20.12575
A26,25,21,3.85554536149362e-06,-12.465998092344185,25,21,-845.964628282,-845.755111,-845.696134,,213.657,-0.25817,20.56927,20.82744,1687.8371,633.5276,-0.595337,-0.70059,0.248949,0.49214,0.925339,0.81597,-0.917682,-0.5886,1.202102,-0.3206,0.444345,0.26481,0.131807,0.52064,0.20564614285714286,0.7049444452669259,0.06910999999999999,0.5549551448540684,,,,,,,1.351720937747877,1.1992270330079289,1.4854540090457193,8.763738352891618,2.4153241976949533,6.754075748000652,0.81597,-0.3206,-0.70059,-0.5886,1687.8371,633.5276,8.763738352891618,2.4153241976949533,6.754075748000652,,213.657,-0.25817,20.56927,-535.347278797,-535.232775,-535.18704,,154.674,-0.29425,19.15648,19.45073,1839.1879,425.5851,-0.539428,-0.70439,0.294183,0.49711,0.3769,0.80601,-0.915113,-0.61226,1.809165,-0.22518,-0.331065,-0.12308,-1.032009,-0.12632,-0.04819528571428571,0.9093543020044049,-0.06973,0.5092815110946569,,,,,,,1.3494665572414162,1.2030369788456212,1.4780960984391371,8.86796669735167,1.8116002195406362,3.346987029020636,0.80601,-0.22518,-0.70439,-0.61226,1839.1879,425.5851,8.86796669735167,1.8116002195406362,3.346987029020636,,154.674,-0.29425,19.15648
